Title,Type,Series,Publisher,Year,ISSN,ISBN,DOI,Affiliation
The Language Use Inventory for Young Children: A Parent-Report Measure of Pragmatic Language Development for 18- to 47-Month-Old Children,journal-article,Journal of Speech Language and Hearing Research,American Speech Language Hearing Association,2007,1092-4388,,https://doi.org/10.1044/1092-4388(2007/017),"University of Waterloo, Waterloo, Ontario, Canada"
"Validation of the Hexoskin wearable vest during lying, sitting, standing, and walking activities",journal-article,"Applied Physiology, Nutrition, and Metabolism",Canadian Science Publishing,2015,1715-5312,,https://doi.org/10.1139/apnm-2015-0140,"Faculty of Applied Health Sciences, University of Waterloo, Waterloo, ON N2L 3G1, Canada."
Effects of catalyst layer structure and wettability on liquid water transport in polymer electrolyte membrane fuel cell,journal-article,International Journal of Energy Research,Wiley,2011,0363-907X,,https://doi.org/10.1002/er.1873,Department of Mechanical and Mechatronics Engineering; University of Waterloo; 200 University Avenue West; Waterloo; ON; N2L 3G1; Canada
Some multidimensional integrals in number theory and connections with the Painlevé V equation,journal-article,Journal of Mathematical Physics,AIP Publishing,2018,0022-2488,,https://doi.org/10.1063/1.5038658,"Pure Mathematics, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
Optimal inventory decisions when offering layaway,journal-article,International Journal of Production Research,Informa UK Limited,2018,0020-7543,,https://doi.org/10.1080/00207543.2018.1502484,"Department of Management Sciences, University of Waterloo, Waterloo, Canada"
Out-of-Position Rear Impact Tissue-Level Investigation Using Detailed Finite Element Neck Model,journal-article,Traffic Injury Prevention,Informa UK Limited,2015,1538-9588,,https://doi.org/10.1080/15389588.2014.1003551,"Department of Mechanical and Mechatronics Engineering, University of Waterloo, Waterloo, Ontario, Canada"
"IRON AVAILABILITY BY COASTAL DIATOM CHAETOCEROS SP. IN THE SHIZUGAWA BAY, JAPAN",proceedings-article,"Proceedings of International Conference ""Managinag risks to coastal regions and communities in a changinag world"" (EMECS'11 - SeaCoasts XXVI)",Academus Publishing,2017,,9785369008294,https://doi.org/10.21610/conferencearticle_58b43167ae68c,University of Waterloo
Case Finding: The Missing Link in Chronic Disease Management,journal-article,Canadian Pharmacists Journal / Revue des Pharmaciens du Canada,SAGE Publications,2011,1715-1635,,https://doi.org/10.3821/1913-701x-144.4.170,"School of Pharmacy, University of Waterloo (Kassamali), Waterloo, Ontario, and the Centre for Community Pharmacy Research and Interdisciplinary Strategies (COMPRIS)/EPICORE Centre (Houle, Rosenthal, Tsuyuki), Faculty of Medicine and Dentistry, University of Alberta, Edmonton, Alberta. Contact ."
Femtosecond laser-induced phase transformations in amorphous Cu77Ni6Sn10P7 alloy,journal-article,Journal of Applied Physics,AIP Publishing,2015,0021-8979,,https://doi.org/10.1063/1.4905588,"Department of Mechanical and Mechatronics Engineering, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
Recombination models for spatio-temporal Monte Carlo transport of interacting carriers in semiconductors,journal-article,Applied Physics Letters,AIP Publishing,2011,0003-6951,,https://doi.org/10.1063/1.3599602,"Department of Electrical and Computer Engineering, University of Waterloo, 200 University Avenue West, Waterloo, Ontario, Canada"
An Explanation for the Nitrous Oxide Layer Observed in the Mesopause Region,journal-article,Geophysical Research Letters,American Geophysical Union (AGU),2018,0094-8276,,https://doi.org/10.1029/2018gl078895,Department of Chemistry; University of Waterloo; Waterloo Ontario Canada
The GRHL2/ZEB Feedback Loop-A Key Axis in the Regulation of EMT in Breast Cancer,journal-article,Journal of Cellular Biochemistry,Wiley,2017,0730-2312,,https://doi.org/10.1002/jcb.25974,Department of Biology; University of Waterloo; Waterloo N2L3G1 ON Canada
What are physicians told about their role in return to work and workers’ compensation systems? An analysis of Canadian resources,journal-article,Policy and Practice in Health and Safety,Informa UK Limited,2018,1477-3996,,https://doi.org/10.1080/14773996.2018.1465264,"School of public-health-and-health-systems, University of Waterloo, Waterloo, Canada;"
Relative Labour Market Performance of Former International Students: Evidence from the National Graduates Survey,journal-article,Canadian Public Policy,University of Toronto Press Inc. (UTPress),2018,0317-0861,,https://doi.org/10.3138/cpp.2017-042,"Department of Economics, University of Waterloo, Waterloo, Ontario"
Designing computable general equilibrium models for transportation applications,journal-article,Transport Reviews,Informa UK Limited,2018,0144-1647,,https://doi.org/10.1080/01441647.2018.1426651,"Department of Civil and Environmental Engineering, University of Waterloo, Waterloo, Canada"
Powder Conductivity Assessment Using a Disposable 3D Printed Device,journal-article,Electroanalysis,Wiley,2018,1040-0397,,https://doi.org/10.1002/elan.201800145,University of Waterloo; Department of Chemical Engineering
Electrophoretic mobility of oil droplets in electrolyte and surfactant solutions,journal-article,ELECTROPHORESIS,Wiley,2015,0173-0835,,https://doi.org/10.1002/elps.201500062,Department of Mechanical and Mechatronics Engineering; University of Waterloo; Waterloo ON Canada
Latent Hazard Anticipation in Young Drivers: Review and Meta-Analysis of Training Studies,journal-article,Transportation Research Record: Journal of the Transportation Research Board,SAGE Publications,2018,0361-1981,,https://doi.org/10.1177/0361198118768530,"Department of Systems Design Engineering, University of Waterloo, Canada"
High Temperature Thermal Gradient Interaction Chromatography (HT-TGIC) of Ethylene/1-Octene Copolymers: Model Development and Validation,journal-article,Macromolecular Symposia,Wiley,2015,1022-1360,,https://doi.org/10.1002/masy.201500040,Department of Chemical Engineering; University of Waterloo; Waterloo Ontario N2L 3G1 Canada
Spectral Analysis of Blood Pressure Variability in Heart Transplant Patients,journal-article,Hypertension,Ovid Technologies (Wolters Kluwer Health),2012,0194-911X,,https://doi.org/10.1161/01.hyp.25.4.643,"From the Laboratoire de Physiologie de l’Environnement, Faculté de Médecine Grange-Blanche, Université Claude Bernard, Lyon; INSERM Hôpital Cardiovasculaire, Bron, France; and Department of Kinesiology, Faculty of Applied Health Sciences, University of Waterloo (Ontario, Canada)."
Joint Effect of Poly(ethyhlene-co-1-octene) Chain Length and 1-Octene Fraction on High-Temperature Thermal Gradient Interaction Chromatography,journal-article,Macromolecular Chemistry and Physics,Wiley,2016,1022-1352,,https://doi.org/10.1002/macp.201600332,Department of Chemical Engineering; University of Waterloo; Waterloo Ontario N2L 3G1 Canada
"Reclaiming the ancestral past: narrative, rhetoric and the ‘convict stain’",journal-article,Journal of Sociology,SAGE Publications,2004,1440-7833,,https://doi.org/10.1177/144078302128756534,"Department of Sociology, University of Waterloo"
Characterization of Ethylene/α-Olefin Copolymers Using High-Temperature Thermal Gradient Interaction Chromatography,journal-article,Macromolecular Chemistry and Physics,Wiley,2014,1022-1352,,https://doi.org/10.1002/macp.201300736,Department of Chemical Engineering; University of Waterloo; Waterloo Ontario Canada N2L 3G1
Enzyme-Degradable Self-Assembled Nanostructures from Polymer–Peptide Hybrids,journal-article,Biomacromolecules,American Chemical Society (ACS),2014,1525-7797,,https://doi.org/10.1021/bm500296n,"Departmentof Chemical Engineering, Waterloo Institute for Nanotechnology, University of Waterloo, 200 University Avenue West, Waterloo N2L 3G1, Canada"
Self-Assembly of a Strong Polyhedral Oligomeric Silsesquioxane Core-Based Aspartate Derivative Dendrimer Supramolecular Gelator in Different Polarity Solvents,journal-article,Langmuir,American Chemical Society (ACS),2017,0743-7463,,https://doi.org/10.1021/acs.langmuir.7b02893,"Departmentof Chemistry, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
Light-Activated Metal-Coordinated Supramolecular Complexes with Charge-Directed Self-Assembly,journal-article,The Journal of Physical Chemistry C,American Chemical Society (ACS),2013,1932-7447,,https://doi.org/10.1021/jp3121403,"Department of Chemistry and Waterloo Institute forNanotechnology, University of Waterloo,200 University Avenue West, Waterloo, Ontario, Canada N2L 3G1"
The strategic calculus of terrorism: Substitution and competition in the Israel—Palestine conflict,journal-article,Cooperation and Conflict,SAGE Publications,2010,0010-8367,,https://doi.org/10.1177/0010836709347113,"University of Waterloo, 200 University Avenue West, David R. Cheriton School of Computer Science, Waterloo, ON, Canada N2L 3G1,"
Wisdom in Context,journal-article,Perspectives on Psychological Science,SAGE Publications,2017,1745-6916,,https://doi.org/10.1177/1745691616672066,"University of Waterloo, Canada"
Phenotypic Characteristics Including In Vivo Cone Photoreceptor Mosaic inKCNV2-Related “Cone Dystrophy with Supernormal Rod Electroretinogram”,journal-article,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2012,1552-5783,,https://doi.org/10.1167/iovs.12-10971,"the Department of Physics and Astronomy, University of Waterloo, Waterloo, Ontario, Canada; the 4School of Optometry and Vision Science, University of Waterloo, Waterloo, Ontario, Canada; and"
On the Myth of Automatic Semantic Activation in Reading,journal-article,Current Directions in Psychological Science,SAGE Publications,2003,0963-7214,,https://doi.org/10.1111/1467-8721.00015,"Department of Psychology, University of Waterloo, Waterloo, Ontario, Canada"
Autobiographical Memory and Conceptions of Self,journal-article,Current Directions in Psychological Science,SAGE Publications,2004,0963-7214,,https://doi.org/10.1111/1467-8721.01228,"Psychology Department, University of Waterloo, Waterloo, Ontario, Canada (M.R.), and Psychology Department, Wilfrid Laurier University, Waterloo, Ontario, Canada (A.E.W.)"
"Evaluating Explanations in Law, Science, and Everyday Life",journal-article,Current Directions in Psychological Science,SAGE Publications,2006,0963-7214,,https://doi.org/10.1111/j.0963-7214.2006.00424.x,"Department of Philosophy, University of Waterloo, Waterloo, Ontario, Canada"
Executive-Control Processes in High-Calorie Food Consumption,journal-article,Current Directions in Psychological Science,SAGE Publications,2016,0963-7214,,https://doi.org/10.1177/0963721415625049,"Faculty of Applied Health Sciences, University of Waterloo"
Varieties of Attention,journal-article,Current Directions in Psychological Science,SAGE Publications,2016,0963-7214,,https://doi.org/10.1177/0963721416639351,"Department of Psychology, University of Waterloo, Canada"
The Production Effect in Memory,journal-article,Current Directions in Psychological Science,SAGE Publications,2017,0963-7214,,https://doi.org/10.1177/0963721417691356,University of Waterloo
Interaction of a mode-2 internal solitary wave with narrow isolated topography,journal-article,Physics of Fluids,AIP Publishing,2017,1070-6631,,https://doi.org/10.1063/1.4994590,"Department of Applied Mathematics, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
Intrinsic fluorescence-basedat situsoft sensor for monitoring monoclonal antibody aggregation,journal-article,Biotechnology Progress,Wiley,2015,8756-7938,,https://doi.org/10.1002/btpr.2140,Dept. of Chemical Engineering; University of Waterloo; Waterloo ON N2L 3G1 Canada
Green ultra-fast high-performance liquid chromatographic method using a short narrow-bore column packed with fully porous sub-2 μm particles for the simultaneous determination of selected pharmaceuticals as surface water and wastewater pollutants,journal-article,Journal of Separation Science,Wiley,2012,1615-9306,,https://doi.org/10.1002/jssc.201200335,Department of Chemistry; University of Waterloo; Waterloo; Ontario; Canada
All the Lonely People: Social Isolation and the Promise and Pitfalls of Leisure,journal-article,Leisure Sciences,Informa UK Limited,2018,0149-0400,,https://doi.org/10.1080/01490400.2017.1376017,"Recreation &amp; Leisure Studies, University of Waterloo, Waterloo, Ontario, Canada"
"The Two Lives of Sara Baartman: Gender, “Race,” Politics and the Historiography of Mis/Representation",journal-article,Anthropologica,University of Toronto Press Inc. (UTPress),2018,0003-5459,,https://doi.org/10.3138/anth.60.1.a05,Wilfrid Laurier University / University of Waterloo
Documenting Presence,journal-article,Anthropologica,University of Toronto Press Inc. (UTPress),2018,0003-5459,,https://doi.org/10.3138/anth.60.1.t13,University of Waterloo
